symbol,count
H,17.0
He,4.0
Li,8.0
Be,3.0
B,12.0
C,58.0
N,14.0
O,20.0
F,5.0
Ne,1.0
Na,13.0
Mg,8.0
Al,9.0
Si,39.0
P,13.0
S,28.0
Cl,3.0
Ar,2.0
K,20.0
Ca,11.0
Sc,9.0
Ti,9.0
V,2.0
Cr,5.0
Mn,5.0
Fe,10.0
Co,7.0
Ni,5.0
Cu,8.0
Zn,6.0
Ga,8.0
Ge,17.0
As,4.0
Se,10.0
Br,7.0
Kr,5.0
Rb,20.0
Sr,11.0
Y,4.0
Zr,6.0
Nb,3.0
Mo,4.0
Tc,3.0
Ru,2.0
Rh,2.0
Pd,2.0
Ag,4.0
Cd,4.0
In,7.0
Sn,8.0
Sb,12.0
Te,9.0
I,5.0
Xe,8.0
Cs,14.0
Ba,9.0
La,3.0
Ce,6.0
Pr,10.0
Nd,4.0
Pm,3.0
Sm,4.0
Eu,6.0
Gd,5.0
Tb,5.0
Dy,5.0
Ho,5.0
Er,5.0
Tm,5.0
Yb,5.0
Lu,3.0
Hf,4.0
Ta,8.0
W,5.0
Re,4.0
Os,2.0
Ir,2.0
Pt,1.0
Au,2.0
Hg,20.0
Tl,6.0
Pb,6.0
Bi,13.0
Po,0.0
At,0.0
Rn,0.0
Fr,0.0
Ra,0.0
Ac,4.0
Th,2.0
Pa,3.0
U,8.0
Np,3.0
Pu,7.0
Am,0.0
Cm,0.0
Bk,0.0
Cf,0.0
Es,0.0
Fm,0.0
Md,0.0
No,0.0
Lr,0.0
Rf,0.0
Db,0.0
Sg,0.0
Bh,0.0
Hs,0.0
Mt,0.0
Ds,0.0
Rg,0.0
Cn,0.0
Nh,0.0
Fl,0.0
Mc,0.0
Lv,0.0
Ts,0.0
Og,0.0
