structure,last phdos peak,sg_symbol,sg_number
"Full Formula (Ba1 Te1)
Reduced Formula: BaTe
abc   :   5.013216   5.013216   5.013216
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Te    0.5  0.5  0.5
  1  Ba    0    0    0",98.58577122703691,Fm-3m,225
"Full Formula (B1 As1)
Reduced Formula: BAs
abc   :   3.407727   3.407727   3.407727
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  B     0.25  0.25  0.25       0.6
  1  As    0     0     0          0.6",701.5857233477558,F-43m,216
"Full Formula (Ba1 Ga1 Si1 H1)
Reduced Formula: BaGaSiH
abc   :   4.301500   4.301500   5.270300
angles:  90.000000  90.000000 120.000002
Sites (4)
  #  SP         a       b       c    magmom
---  ----  ------  ------  ------  --------
  0  Ba    0       0       0             -0
  1  Ga    0.6666  0.3333  0.5423         0
  2  Si    0.3334  0.6667  0.4555        -0
  3  H     0.6666  0.3333  0.8759         0",1138.5856886491724,P3m1,156
"Full Formula (Al1 Ga1 N2)
Reduced Formula: AlGaN2
abc   :   3.164181   3.164181   4.467331
angles:  90.000000  90.000000  90.000000
Sites (4)
  #  SP      a    b         c    magmom
---  ----  ---  ---  --------  --------
  0  Al    0.5  0.5  0.5              0
  1  Ga    0    0    0               -0
  2  N     0    0.5  0.261219         0
  3  N     0.5  0    0.738781        -0",718.5857219979254,P-4m2,115
"Full Formula (B2 P2)
Reduced Formula: BP
abc   :   3.200305   3.200257   5.298093
angles:  90.000000  90.000000 120.000499
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  B     0.666669  0.333339  0.500274        -0
  1  B     0.333331  0.666661  0.000274        -0
  2  P     0.666665  0.33333   0.874726         0
  3  P     0.333335  0.66667   0.374726         0",795.5857158839873,P6_3mc,186
"Full Formula (Y2 S2 F2)
Reduced Formula: YSF
abc   :   3.795994   3.795994   6.885179
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP       a     b         c
---  ----  ----  ----  --------
  0  F     0.75  0.25  0
  1  F     0.25  0.75  0
  2  S     0.75  0.75  0.643308
  3  S     0.25  0.25  0.356692
  4  Y     0.75  0.75  0.228949
  5  Y     0.25  0.25  0.771051",339.58575209120477,P4/nmm,129
"Full Formula (Ti1 Ge1 Pt1)
Reduced Formula: TiGePt
abc   :   4.236071   4.236071   4.236071
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ti    0     0     0            0
  1  Ge    0.5   0.5   0.5          0
  2  Pt    0.75  0.75  0.75        -0",297.5857554260802,F-43m,216
"Full Formula (Mg1 Te1)
Reduced Formula: MgTe
abc   :   4.227884   4.227884   4.227884
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Mg    0    0    0           0
  1  Te    0.5  0.5  0.5         0",247.5857593961698,Fm-3m,225
"Full Formula (Mg2 Sn2 As4)
Reduced Formula: MgSnAs2
abc   :   6.161299   6.161299   7.435968
angles: 114.474631 114.474631  90.000000
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Mg    0.5       0.5       0            0
  1  Mg    0.75      0.25      0.5          0
  2  Sn    0.25      0.75      0.5          0
  3  Sn    0         0         0            0
  4  As    0.375601  0.375     0.25        -0
  5  As    0.625     0.125601  0.75        -0
  6  As    0.874399  0.875     0.25        -0
  7  As    0.125     0.624399  0.75        -0",276.58575709351777,I-42d,122
"Full Formula (Be2 Sn2 As4)
Reduced Formula: BeSnAs2
abc   :   5.655784   5.655784   6.946350
angles: 114.023085 114.023085  90.000000
Sites (8)
  #  SP           a          b      c    magmom
---  ----  --------  ---------  -----  --------
  0  Be    0.5        0.5       -0            0
  1  Be    0.75       0.25       0.5          0
  2  Sn    0.25       0.75       0.5         -0
  3  Sn    0         -0         -0           -0
  4  As    0.430405   0.375      0.25         0
  5  As    0.625      0.180405   0.75         0
  6  As    0.819595   0.875      0.25         0
  7  As    0.125      0.569595   0.75         0",523.5857374812748,I-42d,122
"Full Formula (Be2 Si2 P4)
Reduced Formula: BeSiP2
abc   :   5.139120   5.139120   6.259615
angles: 114.236128 114.236128  90.000000
Sites (8)
  #  SP           a          b     c    magmom
---  ----  --------  ---------  ----  --------
  0  Be    0.75       0.25      0.5          0
  1  Be    0         -0         0            0
  2  Si    0.25       0.75      0.5         -0
  3  Si    0.5        0.5       0           -0
  4  P     0.109975   0.125     0.75         0
  5  P     0.875      0.359975  0.25        -0
  6  P     0.375      0.890025  0.25        -0
  7  P     0.640025   0.625     0.75         0",590.5857321613547,I-42d,122
"Full Formula (Be2 Si2 As4)
Reduced Formula: BeSiAs2
abc   :   5.384307   5.384307   6.565039
angles: 114.209502 114.209502  90.000000
Sites (8)
  #  SP            a          b     c    magmom
---  ----  ---------  ---------  ----  --------
  0  Be     0.5        0.5       0           -0
  1  Be     0.75       0.25      0.5         -0
  2  Si    -0         -0         0           -0
  3  Si     0.25       0.75      0.5          0
  4  As     0.125      0.605981  0.75        -0
  5  As     0.394019   0.375     0.25         0
  6  As     0.855981   0.875     0.25        -0
  7  As     0.625      0.144019  0.75        -0",528.5857370842659,I-42d,122
"Full Formula (Be2 Ge2 As4)
Reduced Formula: BeGeAs2
abc   :   5.453220   5.453220   6.689085
angles: 114.055463 114.055463  90.000000
Sites (8)
  #  SP           a          b      c    magmom
---  ----  --------  ---------  -----  --------
  0  Be    0         -0         -0           -0
  1  Be    0.25       0.75       0.5         -0
  2  Ge    0.75       0.25       0.5         -0
  3  Ge    0.5        0.5       -0           -0
  4  As    0.125      0.656721   0.75         0
  5  As    0.906721   0.875      0.25         0
  6  As    0.625      0.093279   0.75         0
  7  As    0.343278   0.375      0.25         0",540.5857361314445,I-42d,122
"Full Formula (Ca2 Si1)
Reduced Formula: Ca2Si
abc   :   5.069123   5.069123   5.069123
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ca    0.25  0.25  0.25        -0
  1  Ca    0.75  0.75  0.75        -0
  2  Si    0     0     0            0",240.5857599519823,Fm-3m,225
"Full Formula (Si1 Sn1)
Reduced Formula: SiSn
abc   :   4.291627   4.291627   4.291627
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Si    0     0     0           -0
  1  Sn    0.75  0.75  0.75         0",344.5857516941958,F-43m,216
"Full Formula (Cs2 Se1)
Reduced Formula: Cs2Se
abc   :   6.015038   6.015038   6.015038
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Cs    0.25  0.25  0.25         0
  1  Cs    0.75  0.75  0.75         0
  2  Se    0     0     0            0",100.58577106823331,Fm-3m,225
"Full Formula (Zr1 Zn1 N2)
Reduced Formula: ZrZnN2
abc   :   3.311332   3.311331   5.336780
angles:  90.000000  90.000000 120.000008
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0         0         0.00288          0
  1  Zn    0.666667  0.333333  0.450386         0
  2  N     0.333333  0.666667  0.259576        -0
  3  N     0.666667  0.333333  0.817127         0",650.5857273972472,P3m1,156
"Full Formula (P8 Ir4)
Reduced Formula: P2Ir
abc   :   5.795391   5.837716   5.900728
angles:  90.000000 111.306804  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  P     0.157901  0.88107   0.870911
  1  P     0.842099  0.38107   0.629089
  2  P     0.842099  0.11893   0.129089
  3  P     0.157901  0.61893   0.370911
  4  P     0.334106  0.376434  0.18899
  5  P     0.665894  0.876434  0.31101
  6  P     0.665894  0.623566  0.81101
  7  P     0.334106  0.123566  0.68899
  8  Ir    0.271676  0.499292  0.791801
  9  Ir    0.728324  0.999292  0.708199
 10  Ir    0.728324  0.500708  0.208199
 11  Ir    0.271676  0.000708  0.291801",483.58574065734666,P2_1/c,14
"Full Formula (K3 Sb1)
Reduced Formula: K3Sb
abc   :   6.055147   6.055147   6.055147
angles:  60.000000  60.000000  60.000000
Sites (4)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.5   0.5   0.5
  1  K     0.25  0.25  0.25
  2  K     0.75  0.75  0.75
  3  Sb    0     0     0",135.9557896728841,Fm-3m,225
