,formula
0,Cs
1,Hf
2,Si
3,Ga
4,La
5,Ce
6,Ge
7,Ga
8,Cs
9,Ca
10,Au
11,U
12,Sc
13,Ni
14,Ge
15,Hf
16,O2
17,Pr
18,Se
19,Cu
20,P
21,Si
22,K
23,Na
24,Li
25,Hg
26,Rb
27,C
28,Tm
29,Lu
30,O2
31,Ni
32,Hf
33,Sb
34,C
35,Cs
36,B
37,In
38,Mo
39,K
40,O2
41,Cu
42,Sn
43,Zr
44,Sr
45,Si
46,Mg
47,O2
48,N2
49,C
50,Mn
51,Pb
52,O2
53,Ba
54,O2
55,Cu
56,Cr
57,Pr
58,Ag
59,Ir
60,Ge
61,N2
62,Br
63,Sb
64,Li
65,Rb
66,Sc
67,Ca
68,Te
69,S
70,S
71,W
72,Dy
73,Ho
74,Tm
75,Tm
76,O2
77,Mo
78,H2
79,Ca
80,Ge
81,Bi
82,F2
83,Ca
84,K
85,Pu
86,Co
87,Si
88,Dy
89,Er
90,Er
91,Ho
92,Ta
93,Hg
94,Eu
95,Zr
96,Bi
97,Ca
98,Ge
99,Si
100,Na
101,U
102,K
103,Hg
104,S
105,O2
106,Ge
107,P
108,Nb
109,Mg
110,Ni
111,Ta
112,C
113,C
114,As
115,Ba
116,Bi
117,C
118,Cs
119,Fe
120,Hg
121,As
122,Mg
123,Ne
124,Y
125,Si
126,P
127,Cu
128,W
129,Pu
130,Tb
131,C
132,Np
133,N2
134,Zr
135,W
136,Te
137,Sr
138,Sb
139,S
140,Rb
141,Rb
142,Pr
143,P
144,O2
145,O2
146,O2
147,O2
148,K
149,I
150,K
151,H2
152,C
153,Bi
154,Ac
155,Ac
156,Al
157,Cs
158,Ca
159,Ca
160,Cd
161,Cd
162,Cs
163,Co
164,Dy
165,Er
166,Er
167,Cs
168,In
169,In
170,In
171,Hg
172,Hg
173,Hg
174,Hg
175,In
176,K
177,K
178,K
179,K
180,Na
181,Na
182,Na
183,Pm
184,Pb
185,Rb
186,Rb
187,Re
188,Rh
189,Y
190,Xe
191,Xe
192,Xe
193,Tl
194,Zn
195,Yb
196,H2
197,Se
198,C
199,C
200,Co
201,B
202,Fe
203,C
204,C
205,S
206,H2
207,C
208,Ge
209,B
210,P
211,Si
212,K
213,Si
214,Si
215,B
216,Si
217,Si
218,Si
219,C
220,C
221,Hg
222,N2
223,Ta
224,Ge
225,B
226,Nd
227,Al
228,Ag
229,C
230,Si
231,Al
232,Zn
233,Ti
234,Si
235,Al
236,Zn
237,Fe
238,Al
239,Ti
240,Ti
241,Zn
242,C
243,Si
244,Zn
245,Al
246,Ti
247,Mg
248,Se
249,Si
250,Fe
251,Co
252,Ge
253,Mo
254,Fe
255,P
256,Ca
257,Al
258,Fe
259,Sr
260,Ga
261,Ga
262,Tm
263,Ho
264,Lu
265,Se
266,Si
267,Fe
268,Tl
269,Mg
270,N2
271,Gd
272,La
273,P
274,As
275,B
276,B
277,Yb
278,Si
279,Si
280,Ca
281,Si
282,C
283,Tb
284,Te
285,Gd
286,Be
287,Ce
288,Pb
289,Ce
290,Pb
291,Ca
292,Sm
293,Eu
294,F2
295,B
296,Pb
297,Ni
298,I
299,Br
300,Ar
301,He
302,He
303,C
304,H2
305,N2
306,La
307,Si
308,Cs
309,Cu
310,Ru
311,Mn
312,Th
313,Pr
314,Tl
315,Zr
316,Ta
317,U
318,Ca
319,Ti
320,C
321,C
322,Ta
323,Co
324,Se
