element,PBE,r2SCAN
Ac,-0.24210133,-65.08565284
Ag,-0.19840574,-18.47864697
Al,-0.21672837,-3.13610691
Ar,-0.0235315,-4.81548181
As,-1.70136472,-11.8352409
Au,-0.18479218,-47.17549869
B,-0.2911712,-1.1719562
Ba,-1.35978407,-25.72952087
Be,-0.04262353,-0.55505964
Bi,-1.32462383,-56.1998466
Br,-0.22687512,-11.94318729
C,-1.26281801,-2.37153267
Ca,-0.02596217,-4.96437348
Cd,-0.01374787,-19.04302934
Ce,-1.43642821,-26.70836462
Cl,-0.25828681,-4.8080844
Co,-1.66614587,-8.06962288
Cr,-5.44620624,-11.58612906
Cs,-0.13452777,-24.33703294
Cu,-0.23745594,-6.96372255
Dy,-5.51640166,-35.18798673
Er,-3.03880565,-33.45594441
Eu,-9.48606277,-37.50571106
F,-0.43794547,-2.24667956
Fe,-3.30583367,-9.75123742
Ga,-0.19854295,-8.61531029
Gd,-8.11540027,-37.09642203
Ge,-0.77924665,-10.00138965
H,-1.11723232,-1.12256101
He,-0.00045595,-0.32636788
Hf,-3.49292389,-38.72151641
Hg,-0.0105212,-48.91051649
Ho,-4.30111439,-34.4915607
I,-0.18858477,-23.31069583
In,-0.19672488,-20.18193266
Ir,-1.42793567,-45.21733442
K,-0.17827125,-5.1619833
Kr,-0.02265396,-12.53125178
La,-0.62794477,-25.77726829
Li,-0.29734917,-0.77574867
Lu,-0.25255978,-33.75240649
Mg,-0.00994627,-2.46009842
Mn,-5.14592659,-11.62153053
Mo,-4.60213279,-20.43632183
N,-3.12555634,-4.42722573
Na,-0.22858276,-2.47916288
Nb,-2.53481909,-17.68512895
Nd,-3.6389801,-30.12134597
Ne,-0.01216023,-1.87587063
Ni,-0.28412403,-7.33886001
Np,-7.30273499,-78.24114297
O,-1.54690765,-3.22079709
Os,-2.88280809,-44.9549781
P,-1.88719667,-5.58350445
Pa,-2.03239022,-70.10833751
Pb,-0.63069886,-53.33681477
Pd,-1.47521138,-18.77913604
Pm,-5.08859903,-31.83328727
Pr,-2.12706895,-28.03128505
Pt,-0.50244445,-45.78349652
Pu,-10.39244586,-82.93460559
Rb,-0.16194042,-13.16897743
Re,-4.63436797,-45.01003731
Rh,-1.44016062,-18.30000869
Ru,-1.68884293,-18.30519319
S,-0.89091719,-5.11758869
Sb,-1.4302063,-23.14770657
Sc,-2.12966897,-7.3758385
Se,-0.78345919,-11.78712055
Si,-0.82583191,-4.10417318
Sm,-6.9970228,-34.20690699
Sn,-0.67963499,-21.36410117
Sr,-0.02823145,-13.3079222
Ta,-3.5659314,-40.45435788
Tb,-6.45686224,-35.36334319
Tc,-3.40289704,-19.6789338
Te,-0.6573123,-23.14988811
Th,-1.04419147,-67.22815256
Ti,-2.40532262,-7.89348124
Tl,-0.17939998,-51.09730432
Tm,-2.10513872,-32.87419661
U,-4.6443113,-74.35431907
V,-3.61232779,-9.39933491
W,-4.57101127,-43.42146831
Xe,-0.01020284,-23.80420774
Y,-2.25679622,-16.17722027
Yb,-1.84040717,-33.50674037
Zn,-0.01098351,-7.44297004
Zr,-2.23742918,-16.68644557
