# copied from https://gist.github.com/robertwb/22aa4dbfb6bcecd94f2176caa912b952
# appended 2 columns: jmol_color, covalent_radius
symbol,row,column,name,atomic_number,atomic_mass,n_neutrons,n_protons,n_electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,type,atomic_radius,electronegativity,first_ionization,density,melting_point,boiling_point,number_of_isotopes,discoverer,year,specific_heat,n_shells,n_valence,jmol_color,covalent_radius
H,1,1,Hydrogen,1,1.007,0,1,1,1,1.0,gas,,True,,True,,Nonmetal,0.79,2.2,13.5984,8.99e-05,14.175,20.28,3.0,Cavendish,1766.0,14.304,1,1.0,"(1.0, 1.0, 1.0)",0.31
He,1,18,Helium,2,4.002,2,2,2,1,18.0,gas,,True,,True,,Noble Gas,0.49,,24.5874,0.000179,,4.22,5.0,Janssen,1868.0,5.193,1,,"(0.851, 1.0, 1.0)",0.28
Li,2,1,Lithium,3,6.941,4,3,3,2,1.0,solid,,True,True,,,Alkali Metal,2.1,0.98,5.3917,0.534,453.85,1615.0,5.0,Arfvedson,1817.0,3.582,2,1.0,"(0.8, 0.502, 1.0)",1.28
Be,2,2,Beryllium,4,9.012,5,4,4,2,2.0,solid,,True,True,,,Alkaline Earth Metal,1.4,1.57,9.3227,1.85,1560.15,2742.0,6.0,Vaulquelin,1798.0,1.825,2,2.0,"(0.761, 1.0, 0.0)",0.96
B,2,13,Boron,5,10.811,6,5,5,2,13.0,solid,,True,,,True,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200.0,6.0,Gay-Lussac,1808.0,1.026,2,3.0,"(1.0, 0.71, 0.71)",0.84
C,2,14,Carbon,6,12.011,6,6,6,2,14.0,solid,,True,,True,,Nonmetal,0.91,2.55,11.2603,2.27,3948.15,4300.0,7.0,Prehistoric,,0.709,2,4.0,"(0.565, 0.565, 0.565)",0.76
N,2,15,Nitrogen,7,14.007,7,7,7,2,15.0,gas,,True,,True,,Nonmetal,0.75,3.04,14.5341,0.00125,63.29,77.36,8.0,Rutherford,1772.0,1.04,2,5.0,"(0.188, 0.314, 0.973)",0.71
O,2,16,Oxygen,8,15.999,8,8,8,2,16.0,gas,,True,,True,,Nonmetal,0.65,3.44,13.6181,0.00143,50.5,90.2,8.0,Priestley/Scheele,1774.0,0.918,2,6.0,"(1.0, 0.051, 0.051)",0.66
F,2,17,Fluorine,9,18.998,10,9,9,2,17.0,gas,,True,,True,,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6.0,Moissan,1886.0,0.824,2,7.0,"(0.565, 0.878, 0.314)",0.57
Ne,2,18,Neon,10,20.18,10,10,10,2,18.0,gas,,True,,True,,Noble Gas,0.51,,21.5645,0.0009,24.703,27.07,8.0,Ramsay and Travers,1898.0,1.03,2,8.0,"(0.702, 0.89, 0.961)",0.58
Na,3,1,Sodium,11,22.99,12,11,11,3,1.0,solid,,True,True,,,Alkali Metal,2.2,0.93,5.1391,0.971,371.15,1156.0,7.0,Davy,1807.0,1.228,3,1.0,"(0.671, 0.361, 0.949)",1.66
